day,month,year,dayweek,total,1,2,3,4,5,6
10,4,2022,7,130,2,3,5,24,43,53
13,4,2022,3,231,27,33,34,36,47,54
15,4,2022,5,156,3,9,15,36,38,55
17,4,2022,7,144,7,9,10,19,43,56
20,4,2022,3,159,4,8,24,32,45,46
22,4,2022,5,152,8,13,14,23,38,56
24,4,2022,7,193,15,25,31,32,35,55
27,4,2022,3,185,2,19,33,38,41,52
29,4,2022,5,120,1,3,15,23,34,44
1,5,2022,7,138,4,13,19,22,31,49
4,5,2022,3,147,4,21,22,30,34,36
6,5,2022,5,197,13,22,28,32,46,56
8,5,2022,7,130,1,4,16,19,37,53
11,5,2022,3,171,6,10,12,37,52,54
13,5,2022,5,164,1,24,25,32,33,49
15,5,2022,7,183,3,8,15,50,51,56
18,5,2022,3,140,12,18,19,21,26,44
20,5,2022,5,123,6,11,18,23,24,41
22,5,2022,7,214,19,22,33,38,47,55
25,5,2022,3,173,1,17,29,35,36,55
27,5,2022,5,121,1,4,5,20,44,47
29,5,2022,7,213,2,36,39,41,46,49
1,6,2022,3,135,12,15,19,24,32,33
3,6,2022,5,145,5,9,15,20,46,50
5,6,2022,7,174,5,7,31,38,39,54
8,6,2022,3,111,3,5,6,24,30,43
10,6,2022,5,214,12,19,33,41,53,56
12,6,2022,7,210,27,31,33,35,41,43
15,6,2022,3,237,26,29,39,43,46,54
17,6,2022,5,214,19,23,36,39,41,56
19,6,2022,7,195,5,20,32,41,42,55
22,6,2022,3,144,1,7,15,38,41,42
24,6,2022,5,171,7,16,26,28,41,53
26,6,2022,7,127,6,7,13,14,34,53
29,6,2022,3,106,3,8,9,11,28,47
1,7,2022,5,151,4,9,27,28,31,52
3,7,2022,7,210,5,24,38,44,46,53
6,7,2022,3,200,19,26,27,30,46,52
8,7,2022,5,153,5,12,17,29,37,53
10,7,2022,7,202,12,16,29,38,53,54
13,7,2022,3,163,8,9,17,30,43,56
15,7,2022,5,150,4,21,23,27,32,43
24,4,2022,7,193,15,25,31,32,35,55
27,4,2022,3,185,2,19,33,38,41,52
29,4,2022,5,120,1,3,15,23,34,44
8,5,2022,7,130,1,4,16,19,37,53
11,5,2022,3,171,6,10,12,37,52,54
13,5,2022,5,164,1,24,25,32,33,49
1,6,2022,3,135,12,15,19,24,32,33
3,6,2022,5,145,5,9,15,20,46,50
5,6,2022,7,174,5,7,31,38,39,54
8,6,2022,3,111,3,5,6,24,30,43
29,4,2022,5,120,1,3,15,23,34,44
8,5,2022,7,130,1,4,16,19,37,53
11,5,2022,3,171,6,10,12,37,52,54
3,7,2022,7,210,5,24,38,44,46,53
6,7,2022,3,200,19,26,27,30,46,52
8,7,2022,5,153,5,12,17,29,37,53
